material;thickness_mm;sheet_width_mm;sheet_length_mm;total_quantity;is_remnant;remnant_id
S;3.0;2070.0;2800.0;10;False;
S;6.0;2070.0;2800.0;10;False;
S;8.0;2070.0;2800.0;10;False;
S;10.0;2070.0;2800.0;10;False;
S;12.0;2070.0;2800.0;10;False;
S;16.0;2070.0;2800.0;10;False;
S;19.0;2070.0;2800.0;10;False;
S;22.0;2070.0;2800.0;10;False;
L;16.0;2070.0;2800.0;10;False;
V;16.0;2070.0;2800.0;10;False;
L;19.0;2070.0;2800.0;10;False;
V;19.0;2070.0;2800.0;10;False;
S;12;789;2060;1;True;1
S;12;605;2060;1;True;2
S;12;1050;590;1;True;3
V;16;468;2062;1;True;4
S;10;498;1474;1;True;5
L;16;1074;2060;1;True;6
S;16;587;2060;1;True;7
S;10;2798;232;1;True;8
S;10;687;2060;1;True;9
S;10;2100;1113;1;True;10
S;12;2725;865;1;True;11
S;16;2790;1097;1;True;12
S;16;384;2060;1;True;13
S;10;1743;536;1;True;14
